Prodejní cena,Cena v HM,Alternativní cena,PriceWithoutFee,VAT,JC hist. recykl. p?ísp.,CopyrightFee,Currency,Množství skladem,Název 1,Registra?ní ?íslo,PartNumber,?árový kód,MANUFACTURER,IMAGE,URL,DESCRIPTION,Hmotnost,Ší?ka,Výška,Hloubka,WARRANTY,CATEGORYTEXT
10090,12390,10239.67,10239.67,21,0,0,CZK,5,HD PENTAX-DA 55-300mm f/4.5-6.3 ED PLM WR RE,21277,21277,0027075296640,,,,,0.61,0.,0.,0.,,
4390,5450,4504.13,4504.13,21,0,0,CZK,0,PENTAX HD DA 18-50mm F4-5.6 DC WR RE,21357,21357,0027075286955,,,,,0.,0.,0.,0.,,
49690,60490,49991.74,49991.74,21,0,0,CZK,0,HD D FA 150-450mm F4.5-5.6 ED DC AW,21340,21340,0027075286931,,,,,3.115,0.,0.,0.,,
50290,60990,50404.96,50404.96,21,0,0,CZK,0,HD D FA*70-200mm F2.8ED DC AW,21330,21330,0027075286917,,,,,1.2,0.,0.,0.,,
29390,35790,29578.51,29578.51,21,0,0,CZK,0,HD PENTAX D FA 24-70mm F2.8 ED SDM WR,21310,21310,0027075293557,,,,,1.2,0.,0.,0.,,
40590,49490,40900.83,40900.83,21,0,0,CZK,0,PENTAX HD D FA 645 35mm F3.5 AL [IF],26450,26450,0027075295216,,,,,0.,0.,0.,0.,,
49000,60390,49909.09,49909.09,21,0,0,CZK,0,PENTAX smc FA 645 33-55mm f/4.5 AL,26775,26775,0027075054554,,,,,0.672,0.,0.,0.,,
49790,60490,49991.74,49991.74,21,0,0,CZK,0,PENTAX smc FA 645 80-160mm f/4.5,26755,26755,0027075046405,,,,,0.672,0.,0.,0.,,
90000,112000,92561.98,92561.98,21,0,0,CZK,0,"PENTAX HD D-FA 90mm f/2,8 ED AW SR",22210,22210,0027075217584,,,,,1.767,0.,0.,0.,,
13290,16190,13380.17,13380.17,21,0,0,CZK,0,HD PENTAX-DA 15mm F4 ED AL Ltd. Black s pouzdrem,21470,21470,0027075273764,,,,,0.315,0.,0.,0.,,
13290,16190,13380.17,13380.17,21,0,0,CZK,0,HD PENTAX-DA 15mm F4 ED AL Ltd. Silver s pouzdrem,21480,21480,0027075273788,,,,,0.267,0.,0.,0.,,
13290,16190,13380.17,13380.17,21,0,0,CZK,1,HD PENTAX-DA 21mm F3.2 AL Ltd. Black s pouzdrem,21410,21410,0027075273641,,,,,0.27,0.,0.,0.,,
13290,16190,13380.17,13380.17,21,0,0,CZK,0,HD PENTAX-DA 21mm F3.2 AL Ltd. Silver s pouzdrem,21420,21420,0027075273665,,,,,0.267,0.,0.,0.,,
14190,17290,14289.26,14289.26,21,0,0,CZK,0,HD PENTAX-DA 35mm F2.8 Macro Ltd. Black,21450,21450,0027075273726,,,,,0.343,0.,0.,0.,,
14190,17290,14289.26,14289.26,21,0,0,CZK,0,HD PENTAX-DA 35mm F2.8 Macro Ltd. Silver,21460,21460,0027075273740,,,,,0.364,0.,0.,0.,,
9990,12190,10074.38,10074.38,21,0,0,CZK,0,HD PENTAX-DA 40mm F2.8 Ltd. Black s pouzdrem,21390,21390,0027075273603,,,,,0.199,0.,0.,0.,,
14690,17850,14752.07,14752.07,21,0,0,CZK,0,HD PENTAX-DA 70mm F2.4 Ltd. Black,21430,21430,0027075273689,,,,,0.275,0.,0.,0.,,
14690,17850,14752.07,14752.07,21,0,0,CZK,0,HD PENTAX-DA 70mm F2.4 Ltd. Silver,21440,21440,0027075273702,,,,,0.265,0.,0.,0.,,
8090,10690,8834.71,8834.71,21,0,0,CZK,1,PENTAX HD-DA 55-300mm WR + sl.clona + pouzdro,22270,22270,0027075273993,,,,,0.735,0.,0.,0.,,
39700,34289,28338.02,28338.02,21,0,0,CZK,0,PENTAX SMC FA 645 35mm f/3.5 AL (IF),26910,26910,0027075050679,,,,,0.,0.,0.,0.,,
19690,23990,19826.45,19826.45,21,0,0,CZK,0,PENTAX HD DA 20-40mm F2.8-4 ED Limited DC WR,23000,23000,0027075274747,,,,,0.52,0.,0.,0.,,
8690,10690,8834.71,8834.71,21,0,0,CZK,0,PENTAX HD DA AF Rear Convertor 1.4x AW (S70-70),37962,37962,0027075273313,,,,,0.21,0.,0.,0.,,
110000,134000,110743.80,110743.80,21,0,0,CZK,0,HD PENTAX-DA 645 28-45 mm F4.5ED AW SR,26390,26390,0027075219861,,,,,1.93,0.,0.,0.,,
15190,18790,15528.93,15528.93,21,0,0,CZK,0,HD PENTAX-DA 16-85mm F3.5-5.6 ED DC WR,21387,21387,0027075276802,,,,,0.68,0.,0.,0.,,
9990,12190,10074.38,10074.38,21,0,0,CZK,0,smc Pentax FA 50mm/F1.4,20817,20817,0027075030534,,,,,0.297,0.,0.,0.,,
22990,27990,23132.23,23132.23,21,0,0,CZK,0,PENTAX HD FA 77mm/F1.8 Limited Silver s pouzdrem,27970,27970,0027075048263,,,,,0.,0.,0.,0.,,
9890,12190,10074.38,10074.38,21,0,0,CZK,0,PENTAX D-FA Makro 50mm F2.8,21530,21530,0027075108639,,,,,0.499,0.,0.,0.,,
8790,9496,7847.93,7847.93,21,0,0,CZK,0,PENTAX DA 40mm/F2.8 Limited,21550,21550,0027075111004,,,,,0.199,0.,0.,0.,,
22990,27990,23132.23,23132.23,21,0,0,CZK,0,PENTAX FA 77mm/F1.8 Limited black s pouzdrem,27980,27980,0027075050631,,,,,0.252,0.,0.,0.,,
32790,39990,33049.59,33049.59,21,0,0,CZK,0,smc PENTAX FA 31mm F1.8 Ltd. (black) s pouzdrem,20290,20290,0027075051157,,,,,0.36,0.,0.,0.,,
28990,35790,29578.51,29578.51,21,0,0,CZK,0,"PENTAX SMC FA 645 150mm F/2,8",26345,26345,0027075048577,,,,,0.,0.,0.,0.,,
29290,35590,29413.22,29413.22,21,0,0,CZK,0,PENTAX DA* 300mm F4 ED [IF] SDM,21760,21760,0027075141261,,,,,1.668,0.,0.,0.,,
24190,29890,24702.48,24702.48,21,0,0,CZK,0,"PENTAX DA*200mm F2,8 ED (IF) SDM",21700,21700,0027075139213,,,,,1.29,0.,0.,0.,,
17490,21390,17677.69,17677.69,21,0,0,CZK,0,smc PENTAX FA 43mm F1.9 LTD. Black s pouzdrem,20180,20180,0027075050617,,,,,0.34,0.,0.,0.,,
32990,40190,33214.88,33214.88,21,0,0,CZK,0,PENTAX DA* 60-250mm F4ED (IF) SDM,21750,21750,0027075141247,,,,,1.747,0.,0.,0.,,
19890,24390,20157.02,20157.02,21,0,0,CZK,0,PENTAX DA 55mm 1.4 SDM,21790,21790,0027075147348,,,,,0.617,0.,0.,0.,,
5990,7990,6603.31,6603.31,21,0,0,CZK,0,PENTAX DA 50-200mm F4-5.6 ED WR,21870,21870,0027075154308,,,,,0.42,0.,0.,0.,,
4430,5390,4454.55,4454.55,21,0,0,CZK,0,PENTAX DA 18-55mm F/3.5-5.6 AL WR,21880,21880,0027075154407,,,,,0.368,0.,0.,0.,,
23990,29190,24123.97,24123.97,21,0,0,CZK,0,PENTAX-DA 16-50mm F2.8 ED AL [IF] SDM,21650,21650,0027075129252,,,,,0.91,0.,0.,0.,,
26990,32790,27099.17,27099.17,21,0,0,CZK,0,PENTAX-DA 50-135mm F2.8ED [IF] SDM,21660,21660,0027075129276,,,,,1.107,0.,0.,0.,,
13290,16290,13462.81,13462.81,21,0,0,CZK,0,PENTAX D-FA Makro 100mm F2.8 WR,21910,21910,0027075163034,,,,,0.578,0.,0.,0.,,
12190,14990,12388.43,12388.43,21,0,0,CZK,2,PENTAX DA 18-135mm F3.5-5.6 ED AL [IF] DC WR,21977,21977,0027075173767,,,,,0.575,0.,0.,0.,,
12190,15090,12471.07,12471.07,21,0,0,CZK,0,PENTAX 645 FA 75mm f/2.8,26121,26121,0027075042513,,,,,0.343,0.,0.,0.,,
31000,37990,31396.69,31396.69,21,0,0,CZK,0,PENTAX SMC DFA 645 55mm F2.8,26350,26350,0027075166059,,,,,0.672,0.,0.,0.,,
3890,4790,3958.68,3958.68,21,0,0,CZK,3,PENTAX DA 35mm F2.4 AL,21987,21987,0027075114616,,,,,0.223,0.,0.,0.,,
3890,4790,3958.68,3958.68,21,0,0,CZK,1,PENTAX DA 50mm f/1.8,22177,22177,0027075217607,,,,,0.215,0.,0.,0.,,
15490,18890,15611.57,15611.57,21,0,0,CZK,0,PENTAX DA 18-270mm F3.5-6.3 ED SDM,21497,21497,0027075219632,,,,,0.663,0.,0.,0.,,
38000,46590,38504.13,38504.13,21,0,0,CZK,0,PENTAX 645 SMC 120mm f/4.0 Macro W/C & HOOD,26735,26735,0027075046085,,,,,1.93,0.,0.,0.,,
49790,60490,49991.74,49991.74,21,0,0,CZK,0,PENTAX smc FA 645 150-300mm f/5.6 ED (IF),26785,26785,0027075074095,,,,,0.8,0.,0.,0.,,
5490,6730,5561.98,5561.98,21,0,0,CZK,0,RICOH WIDE CONVERSION LENS GW-4,30248,30248,0027075300156,,,,,0.,0.,0.,0.,,
28590,35190,29082.64,29082.64,21,0,0,CZK,0,HD PENTAX-D FA* 50mm F1.4 SDM AW,21260,21260,0027075299719,,,,,0.9,0.,0.,0.,,
115000,141000,116528.93,116528.93,21,0,0,CZK,0,"PENTAX HD DA 560mm f/5,6 ED AW",22180,22180,0027075218406,,,,,5.411,0.,0.,0.,,
64890,79000,65289.26,65289.26,21,0,0,CZK,0,PENTAX FA 645 400mm f/5.6 ED (IF),26555,26555,0027075042544,,,,,0.,0.,0.,0.,,
32990,40390,33380.17,33380.17,21,0,0,CZK,1,HD PENTAX-DA?11-18mm F2.8ED DC AW,21230,21230,0027075299733,,,,,1.031,0.,0.,0.,,
8990,10690,8834.71,8834.71,21,0,0,CZK,2,PENTAX HD FA 35mm F2.0 AL,22860,22860,0027075300972,,,,,0.33,0.,0.,0.,,
